120,120,0.000000
119,120,1.000000
120,119,1.000000
119,119,1.414214
118,119,2.236068
117,119,3.162278
116,119,4.123106
115,119,5.099020
114,119,6.082763
113,119,7.071068
113,118,7.280110
112,118,8.246211
111,118,9.219544
110,118,10.198039
109,118,11.180340
108,118,12.165525
107,118,13.152946
107,117,13.341664
106,117,14.317821
105,117,15.297059
104,117,16.278821
103,117,17.262677
102,117,18.248288
101,117,19.235384
101,116,19.416488
100,116,20.396078
99,116,21.377558
98,116,22.360680
97,116,23.345235
96,116,24.331050
95,116,25.317978
95,115,25.495098
94,115,26.476405
93,115,27.459060
92,115,28.442925
91,115,29.427878
90,115,30.413813
89,115,31.400637
89,114,31.575307
88,114,32.557641
87,114,33.541020
86,114,34.525353
85,114,35.510562
84,114,36.496575
83,114,37.483330
83,113,37.656341
82,113,38.639358
81,113,39.623226
80,113,40.607881
79,113,41.593269
78,113,42.579338
77,113,43.566042
77,112,43.737855
76,112,44.721360
75,112,45.705580
74,112,46.690470
73,112,47.675990
72,112,48.662100
71,112,49.648766
71,111,49.819675
70,111,50.803543
69,111,51.788030
68,111,52.773099
67,111,53.758720
66,111,54.744863
65,111,55.731499
65,110,55.901699
64,111,56.718604
64,110,56.885851
63,110,57.870545
62,110,58.855756
61,110,59.841457
60,110,60.827625
59,110,61.814238
58,110,62.801274
58,109,62.968246
57,109,63.953108
56,109,64.938432
55,109,65.924199
54,109,66.910388
53,109,67.896981
52,109,68.883960
52,108,69.050706
51,108,70.035705
50,108,71.021124
49,108,72.006944
48,108,72.993150
47,108,73.979727
46,108,74.966659
46,107,75.133215
45,107,76.118329
44,107,77.103826
43,107,78.089692
42,107,79.075913
41,107,80.062476
40,107,81.049368
40,106,81.215762
39,106,82.200973
38,106,83.186537
37,106,84.172442
36,106,85.158675
35,106,86.145226
34,106,87.132084
34,105,87.298339
33,105,88.283634
32,105,89.269256
31,105,90.255194
30,105,91.241438
29,105,92.227978
28,105,93.214806
28,104,93.380940
27,104,94.366308
26,104,95.351980
25,104,96.337947
24,104,97.324200
23,104,98.310732
22,104,99.297533
22,103,99.463561
21,103,100.448992
20,103,101.434708
19,103,102.420701
18,103,103.406963
17,103,104.393486
16,103,105.380264
16,102,105.546198
15,102,106.531685
14,102,107.517440
13,102,108.503456
12,102,109.489726
11,102,110.476242
10,102,111.462998
10,101,111.628849
9,102,112.449989
9,101,112.614386
